"","layer_OBJECTID","ldensity"
"Northern New Guinea lowland rain and freshwater swamp forests",516,4.60683808423761
"Northern New Guinea montane rain forests",517,4.59748302043145
"Northern Shortgrass prairie",518,1.84097310363203
"Northern Swahili coastal forests",519,1.94784248797897
"Northern Tallgrass prairie",520,2.34078490339325
"Northern Thailand-Laos moist deciduous forests",521,2.20477355584549
"Northern Triangle subtropical forests",522,1.31362865501416
"Northern Triangle temperate forests",523,1.82463799137378
"Northern Vietnam lowland rain forests",524,1.30824611626359
"Northland temperate kauri forests",525,4.09859812476945
"Northwest Iberian montane forests",526,2.44518647139136
"Northwest Russian-Novaya Zemlya tundra",527,0.32080278050485
"Northwest Andean montane forests",528,2.44677374377257
"Northwest Congolian lowland forests",529,0.329290083840986
"Northwestern Himalayan alpine shrub and meadows",531,2.10892735029065
"Aravalli west thorn scrub forests",532,1.4214907053853
"Novosibirsk Islands Arctic desert",533,-0.698870787818633
"Nujiang Langcang Gorge alpine conifer and mixed forests",534,2.36249101708889
"Nullarbor Plains xeric shrublands",535,0.668550932609883
"Nyanga-Chimanimani Montane forest-grassland",536,2.61916785704806
"Oaxacan montane forests",537,2.84894237881618
"Ogilvie-MacKenzie alpine tundra",539,0.279322689433837
"Okanogan dry forests",540,2.52358964429679
"Okhotsk-Manchurian taiga",541,1.45626870600209
"Ordos Plateau steppe",542,1.18029993246589
"Orinoco Delta swamp forests",543,2.34423873808798
"Orinoco wetlands",544,2.5902751172519
"Orissa semi-evergreen forests",545,0.80250123026353
"Ozark Highlands mixed forests",546,3.7135203794168
"Ozark Mountain forests",547,3.78088593761121
"Pacific Coastal Mountain icefields and tundra",548,1.38373487740093
"Palau tropical moist forests",549,4.06427710137302
"Palawan rain forests",550,2.80254553378806
"Palouse prairie",551,1.95775652946116
"Pamir alpine desert and tundra",552,1.38383961420843
"Panamanian dry forests",553,2.5568139924928
"Pannonian mixed forests",554,2.10987090413731
"Pantanal",555,3.21577715970136
"Pantanos de Centla",556,2.50613937078649
"Pantepui forests & shrublands",557,3.20680933246307
"Paraguaná xeric scrub",558,3.24240501815313
"Paraná flooded savanna",559,2.78046268816694
"Paropamisus xeric woodlands",560,1.45657110791503
"Patagonian steppe",561,0.842408545711535
"Patía valley dry forests",562,2.07141483223078
"Peninsular Malaysian montane rain forests",563,2.90993925639631
"Peninsular Malaysian peat swamp forests",564,2.64833165883886
"Peninsular Malaysian rain forests",565,2.73238667359287
"Pernambuco coastal forests",566,2.40330043758462
"Pernambuco interior forests",567,2.55965396719744
"Peruvian Yungas",568,3.31283765403911
"Petén-Veracruz moist forests",569,2.54967003853691
"Pilbara shrublands",570,1.25066452358336
"Pindus Mountains mixed forests",571,2.35275897149411
"Piney Woods",572,3.49349559413049
"Po Basin mixed forests",573,2.45365351331289
"Pontic steppe",574,1.93473546439127
"Puerto Rican dry forests",576,2.40982685455241
"Puerto Rican moist forests",577,2.51631724609294
"Puget lowland forests",578,3.92550591680411
"Purus-Madeira moist forests",579,3.81694584987305
"Purus várzea",580,3.37570134513823
"Pyrenees conifer and mixed forests",581,2.7317854876217
"Qaidam Basin semi-desert",582,0.545156588159152
"Qilian Mountains conifer forests",583,1.81830473353126
"Qilian Mountains subalpine meadows",584,1.05080628504143
"Qin Ling Mountains deciduous forests",585,1.91444932855894
"Qionglai-Minshan conifer forests",586,2.62287594294425
"Queensland tropical rain forests",587,3.78110526324193
"Rakiura Island temperate forests",588,2.68710428468354
"Rann of Kutch seasonal salt marsh",589,1.37124313168441
"Red River freshwater swamp forests",591,1.08635226191899
"Red Sea-Arabian Desert shrublands",592,0.71060782531543
"Red Sea coastal desert",593,0.768982976353252
"Red Sea mangroves",594,1.23505336102612
"Registan-North Pakistan sandy desert",595,0.735321439887331
"Renosterveld shrubland",596,3.12220371734506
"Richmond temperate forests",597,3.01120321339419
"Rio Negro campinarana",598,3.25372857133801
"Rodope montane mixed forests",599,2.04182594978547
"Rwenzori-Virunga montane moorlands",600,3.18633927977283
"Saharan halophytics",601,0.445515690257674
"Sahelian Acacia savanna",602,1.12658518095111
